plot,mothID,mothID_format,count,total_basal_all,planttype,num_hostplants,category
2,"Psilocorsis reflexella Clemens, 1860",Psilocorsis reflexella,10,1.616844135,wood,8,generalist
2,"Renia adspergillus (Bosc, [1800])",Renia adspergillus,1,0,wood,2,generalist
2,"Scolecocampa liburna (Geyer, 1837) ",Scolecocampa liburna,2,4.964610334,wood,7,generalist
2,Scopula limboundata,Scopula limboundata,1,0.432348673,wood,9,generalist
2,"Scopula limboundata (Haworth, 1809)",Scopula limboundata,1,0.432348673,wood,9,generalist
2,"Scopula limboundata (Haworth, 1809) ",Scopula limboundata,1,0.432348673,wood,9,generalist
2,"Spilosoma virginica (Fabricius, 1798)",Spilosoma virginica,1,1.454660438,wood,18,generalist
2,"Symmerista albifrons (Smith, 1797)",Symmerista albifrons,1,1.616844135,wood,10,generalist
2,"Xestia dolosa Franclemont, 1980",Xestia dolosa,2,0.949408679,wood,8,generalist
2,"Melanolophia canadaria (Guenée, [1858])",Melanolophia canadaria,1,2.813815265,wood,26,generalist
2,"Cabera erythemaria Guenée, [1858]",Cabera erythemaria,2,0.011551545,wood,3,generalist
2,"Zanclognatha cruralis (Guenée, 1854) ",Zanclognatha cruralis,3,0.596637318,wood,5,generalist
2,"Athetis tarda (Guenée, 1852) ",Athetis tarda,4,0,wood,3,generalist
2,"Hyperstrotia nana (Hübner, 1818)",Hyperstrotia nana,2,0.060850974,wood,4,generalist
2,"Lomographa vestaliata (Guenée, [1858])",Lomographa vestaliata,2,1.442723841,wood,10,generalist
2,"Eulithis gracilineata (Guenée, [1858])",Eulithis gracilineata,3,0.002220463,wood,3,generalist
2,"Idia aemula Hübner, 1814 ",Idia aemula,1,0.432348673,wood,4,generalist
2,"Udea rubigalis (Guenée, 1854)",Udea rubigalis,1,0,wood,1,specialist
2,"Anavitrinella pampinaria (Guenée, [1858])",Anavitrinella pampinaria,1,1.454275386,wood,20,generalist
3,"Catocala palaeogama Guenée, 1852",Catocala palaeogama,1,1.385800393,wood,5,generalist
3,"Iridopsis larvaria (Guenée, [1858])",Iridopsis larvaria,1,1.776409482,wood,12,generalist
3,"Melanolophia canadaria (Guenée, [1858])",Melanolophia canadaria,1,3.099716015,wood,26,generalist
3,"Lithacodes fasciola (Herrich-Schäffer, 1854)",Lithacodes fasciola,1,3.054831844,wood,15,generalist
3,"Zanclognatha cruralis (Guenée, 1854)",Zanclognatha cruralis,1,1.285597155,wood,5,generalist
3,"Panopoda rufimargo (Hübner, 1818)",Panopoda rufimargo,1,2.076621312,wood,5,generalist
3,"Cyclophora pendulinaria (Guenée, [1858])",Cyclophora pendulinaria,1,0.944826566,wood,4,generalist
3,"Orthodes majuscula Herrich-Schäffer, 1868",Orthodes majuscula,1,0,wood,2,generalist
3,"Tortricidia pallida (Herrich-Schäffer, 1854)",Tortricidia pallida,1,2.578831164,wood,8,generalist
3,"Nemoria bistriaria Hübner, 1818",Nemoria bistriaria,1,1.298984112,wood,5,generalist
3,"Bleptina caradrinalis Guenée, 1854 ",Bleptina caradrinalis,2,1.731486806,wood,4,generalist
3,"Udea rubigalis (Guenée, 1854)",Udea rubigalis,1,0.000333711,wood,1,specialist
3,"Ectropis crepuscularia ([Denis & Schiffermüller], 1775)",Ectropis crepuscularia,1,2.742465221,wood,20,generalist
3,"Ectropis crepuscularia ([Denis & Schiffermüller], 1775) ",Ectropis crepuscularia,1,2.742465221,wood,20,generalist
3,"Eulithis gracilineata (Guenée, [1858])",Eulithis gracilineata,1,0.021408864,wood,3,generalist
3,"Hypena baltimoralis Guenée, 1854",Hypena baltimoralis,2,2.322977269,wood,3,generalist
3,"Desmia funeralis (Hübner, 1796) ",Desmia funeralis,2,0.021408864,wood,2,generalist
3,"Melanolophia canadaria (Guenée, [1858]) ",Melanolophia canadaria,1,3.099716015,wood,26,generalist
3,"Lomographa vestaliata (Guenée, [1858])",Lomographa vestaliata,5,2.712508214,wood,10,generalist
3,"Udea rubigalis (Guenée, 1854) ",Udea rubigalis,1,0.000333711,wood,1,specialist
3,Abagrotis anchocelioides ,Abagrotis anchocelioides,2,0.021408864,wood,2,generalist
3,"Acleris subnivana (Walker, 1863)",Acleris subnivana,1,0.940462649,wood,1,specialist
3,"Acronicta ovata (Grote, 1873)",Acronicta ovata,1,2.672475692,wood,6,generalist
3,Acronicta retardata,Acronicta retardata,2,1.882824885,wood,4,generalist
3,"Acronicta retardata (Walker, 1861)",Acronicta retardata,1,1.882824885,wood,4,generalist
3,"Athetis tarda (Guenée, 1852)",Athetis tarda,4,0.940462649,wood,2,generalist
3,"Orthodes majuscula Herrich-Schäffer, 1868 ",Orthodes majuscula,1,0,wood,2,generalist
3,"Desmia funeralis (Hübner, 1796)",Desmia funeralis,1,0.021408864,wood,2,generalist
3,"Athetis tarda (Guenée, 1852) ",Athetis tarda,1,0.940462649,wood,3,generalist
3,"Agrotis ipsilon (Hufnagel, 1766)",Agrotis ipsilon,1,0.37556641,wood,4,generalist
3,"Amorpha juglandis (Smith, 1797)",Amorpha juglandis,1,0.789650807,wood,7,generalist
3,Argyrotaenia velutinana,Argyrotaenia velutinana,1,2.263088923,wood,18,generalist
3,Autographa precationis,Autographa precationis,1,0,wood,1,specialist
3,Automeris io,Automeris io,3,5.917985044,wood,34,generalist
3,"Callosamia angulifera (Walker, 1855)",Callosamia angulifera,1,3.649954626,wood,6,generalist
3,"Choristoneura rosaceana (Harris, 1841)",Choristoneura rosaceana,1,3.087599727,wood,29,generalist
3,"Clemensia albata Packard, 1864",Clemensia albata,2,0,wood,2,generalist
3,"Colocasia flavicornis (Smith, 1884)",Colocasia flavicornis,5,2.672475692,wood,8,generalist
3,"Cyclophora packardi (Prout, 1936)",Cyclophora packardi,1,0.940462649,wood,4,generalist
3,"Datana angusii Grote & Robinson, 1866",Datana angusii,1,1.755372835,wood,8,generalist
3,"Datana integerrima Grote & Robinson, 1866",Datana integerrima,1,1.764408711,wood,11,generalist
3,"Datana ministra (Drury, 1773)",Datana ministra,1,3.087599727,wood,23,generalist
3,Desmia funeralis,Desmia funeralis,2,0.021408864,wood,2,generalist
3,"Episimus argutana (Clemens, 1860)",Episimus argutana,1,0.07641989,wood,8,generalist
3,"Episimus argutana (Clemens, 1860)",Episimus argutana,2,0.07641989,wood,8,generalist
3,"Estigmene acrea (Drury, 1773)",Estigmene acrea,1,0.720700916,wood,9,generalist
3,"Eubaphe mendica (Walker, 1854)",Eubaphe mendica,1,0.942362236,wood,2,generalist
3,Eudryas grata,Eudryas grata,2,0.021408864,wood,3,generalist
3,"Euplexia benesimilis McDunnough, 1922",Euplexia benesimilis,1,0.004363917,wood,6,generalist
3,"Halysidota tessellaris (Smith, 1797)",Halysidota tessellaris,1,5.954808804,wood,29,generalist
3,"Halysidota tessellaris (Smith, 1797)",Halysidota tessellaris,4,5.954808804,wood,29,generalist
3,"Halysidota tessellaris (Smith, 1797) ",Halysidota tessellaris,3,5.954808804,wood,29,generalist
3,"Haploa clymene (Brown, 1776)",Haploa clymene,1,1.291334422,wood,3,generalist
3,"Herpetogramma pertextalis (Lederer, 1863)",Herpetogramma pertextalis,3,0.942362236,wood,6,generalist
3,"Heterocampa guttivitta (Walker, 1855)",Heterocampa guttivitta,1,3.115464622,wood,27,generalist
3,Hyalophora cecropia,Hyalophora cecropia,1,5.94618365,wood,43,generalist
3,"Hypagyrtis unipunctata (Haworth, 1809)",Hypagyrtis unipunctata,2,6.11810915,wood,23,generalist
3,"Hypagyrtis unipunctata (Haworth, 1809)",Hypagyrtis unipunctata,5,3.059054575,wood,23,generalist
3,"Hypena scabra (Fabricius, 1798)",Hypena scabra,1,1.300883699,wood,10,generalist
3,"Hypena scabra (Fabricius, 1798) ",Hypena scabra,1,1.300883699,wood,10,generalist
3,"Hyperstrotia pervertens (Barnes & McDunnough, 1918)",Hyperstrotia pervertens,3,1.285597155,wood,3,generalist
